Date,Hour,Temperature,Relative_Humidity,Geopotential_Pressure,Wind_Direction,Wind_Velocity_KM_H
25/01/2000,06Z,1.2,80,1016.5 Hpa,30º (NE),5.6
24/01/2000,21Z,7.6,63,1016.8 Hpa,calm,0
24/01/2000,18Z,12.0,42,1016.3 Hpa,calm,0
24/01/2000,12Z,10.0,47,1018.4 Hpa,60º (NE),14.8
24/01/2000,09Z,2.8,86,1019.6 Hpa,30º (NE),9.3
24/01/2000,06Z,1.2,92,1018.4 Hpa,calm,0
23/01/2000,21Z,7.3,78,1019.2 Hpa,calm,0
23/01/2000,18Z,11.7,61,1018.7 Hpa,calm,0
23/01/2000,15Z,13.0,52,1018.2 Hpa,80º (E),7.4
23/01/2000,12Z,10.4,64,1020.0 Hpa,60º (NE),13.0
23/01/2000,09Z,4.1,83,1020.8 Hpa,50º (NE),5.6
23/01/2000,06Z,2.2,89,1019.3 Hpa,10º (N),3.7
22/01/2000,21Z,7.8,71,1020.0 Hpa,calm,0
22/01/2000,18Z,13.0,59,1019.9 Hpa,calm,0
22/01/2000,15Z,15.0,46,1020.2 Hpa,280º (W),1.9
22/01/2000,12Z,11.0,63,1022.0 Hpa,30º (NE),3.7
22/01/2000,09Z,5.0,83,1023.3 Hpa,20º (N),5.6
22/01/2000,06Z,4.2,86,1022.5 Hpa,50º (NE),7.4
21/01/2000,21Z,9.8,74,1024.0 Hpa,60º (NE),3.7
21/01/2000,18Z,14.0,56,1024.0 Hpa,60º (NE),3.7
21/01/2000,12Z,12.6,58,1026.1 Hpa,60º (NE),20.4
21/01/2000,09Z,6.2,78,1027.1 Hpa,30º (NE),9.3
21/01/2000,06Z,6.4,78,1025.9 Hpa,30º (NE),11.1
20/01/2000,21Z,10.4,59,1026.1 Hpa,130º (SE),14.8
20/01/2000,18Z,13.8,58,1024.5 Hpa,70º (E),11.1
20/01/2000,15Z,15.4,54,1023.6 Hpa,60º (NE),14.8
20/01/2000,12Z,12.0,66,1025.6 Hpa,80º (E),13.0
20/01/2000,09Z,5.2,83,1024.9 Hpa,40º (NE),11.1
20/01/2000,06Z,5.0,86,1023.5 Hpa,20º (N),7.4
18/01/2000,21Z,9.7,81,1021.2 Hpa,260º (W),3.7
18/01/2000,18Z,14.5,60,1020.8 Hpa,110º (E),3.7
18/01/2000,15Z,15.8,61,1021.2 Hpa,70º (E),9.3
18/01/2000,12Z,12.9,63,1024.1 Hpa,60º (NE),13.0
18/01/2000,09Z,7.5,78,1024.6 Hpa,60º (NE),20.4
18/01/2000,06Z,6.2,87,1023.8 Hpa,50º (NE),11.1
17/01/2000,21Z,12.0,80,1026.1 Hpa,50º (NE),11.1
17/01/2000,18Z,14.4,75,1025.2 Hpa,50º (NE),5.6
17/01/2000,15Z,16.0,63,1025.1 Hpa,80º (E),16.7
17/01/2000,12Z,13.0,70,1026.8 Hpa,80º (E),20.4
17/01/2000,06Z,8.6,94,1024.5 Hpa,70º (E),13.0
16/01/2000,21Z,11.4,68,1021.4 Hpa,100º (E),18.5
16/01/2000,15Z,12.0,64,1019.6 Hpa,70º (E),16.7
16/01/2000,12Z,9.8,74,1020.5 Hpa,60º (NE),16.7
16/01/2000,09Z,8.0,72,1019.9 Hpa,70º (E),22.2
16/01/2000,06Z,7.8,80,1018.3 Hpa,70º (E),14.8
15/01/2000,21Z,8.8,75,1016.7 Hpa,100º (E),14.8
15/01/2000,18Z,11.2,70,1015.5 Hpa,80º (E),9.3
15/01/2000,15Z,11.8,69,1014.2 Hpa,80º (E),13.0
15/01/2000,12Z,11.0,65,1015.1 Hpa,130º (SE),9.3
15/01/2000,09Z,7.2,88,1014.3 Hpa,80º (E),11.1
15/01/2000,06Z,7.0,88,1011.9 Hpa,130º (SE),7.4
14/01/2000,21Z,7.6,83,1009.5 Hpa,190º (S),11.1
14/01/2000,18Z,10.6,65,1008.7 Hpa,200º (S),9.3
14/01/2000,15Z,12.2,54,1008.7 Hpa,220º (SW),14.8
14/01/2000,12Z,10.2,64,1011.5 Hpa,250º (W),18.5
14/01/2000,09Z,6.6,85,1011.9 Hpa,230º (SW),13.0
14/01/2000,06Z,7.4,82,1012.0 Hpa,260º (W),16.7
13/01/2000,21Z,10.8,91,1015.1 Hpa,230º (SW),16.7
13/01/2000,18Z,12.2,70,1016.7 Hpa,220º (SW),7.4
13/01/2000,15Z,14.0,58,1018.3 Hpa,230º (SW),9.3
13/01/2000,12Z,10.9,71,1022.2 Hpa,calm,0
13/01/2000,09Z,4.1,84,1024.2 Hpa,40º (NE),3.7
13/01/2000,06Z,2.8,89,1024.2 Hpa,calm,0
12/01/2000,21Z,8.2,74,1027.0 Hpa,320º (NW),5.6
12/01/2000,18Z,13.6,58,1027.2 Hpa,50º (NE),5.6
12/01/2000,15Z,15.2,48,1026.8 Hpa,60º (NE),5.6
12/01/2000,12Z,12.8,52,1028.6 Hpa,60º (NE),16.7
12/01/2000,09Z,8.4,66,1029.7 Hpa,70º (E),18.5
12/01/2000,06Z,6.8,73,1028.5 Hpa,70º (E),20.4
11/01/2000,21Z,10.2,69,1028.0 Hpa,20º (N),7.4
11/01/2000,18Z,13.6,55,1027.2 Hpa,80º (E),3.7
11/01/2000,15Z,14.6,47,1026.6 Hpa,80º (E),16.7
11/01/2000,12Z,11.6,57,1028.0 Hpa,60º (NE),22.2
11/01/2000,09Z,7.4,74,1027.5 Hpa,70º (E),22.2
11/01/2000,06Z,5.6,84,1026.6 Hpa,30º (NE),5.6
10/01/2000,18Z,12.6,56,1024.1 Hpa,70º (E),7.4
10/01/2000,09Z,9.2,60,1023.8 Hpa,60º (NE),11.1
10/01/2000,06Z,8.8,65,1022.0 Hpa,40º (NE),5.6
09/01/2000,21Z,11.0,80,1024.0 Hpa,360º (N),5.6
09/01/2000,18Z,13.4,66,1022.9 Hpa,calm,0
09/01/2000,12Z,10.2,66,1025.0 Hpa,calm,0
09/01/2000,09Z,4.0,86,1026.1 Hpa,calm,0
09/01/2000,06Z,2.8,89,1024.9 Hpa,calm,0
08/01/2000,21Z,9.4,73,1024.5 Hpa,calm,0
08/01/2000,18Z,13.2,61,1023.3 Hpa,calm,0
08/01/2000,15Z,16.2,55,1023.1 Hpa,calm,0
08/01/2000,12Z,11.8,52,1025.3 Hpa,60º (NE),11.1
08/01/2000,09Z,5.2,-,1025.1 Hpa,20º (N),7.4
08/01/2000,06Z,4.4,89,1023.9 Hpa,60º (NE),11.1
07/01/2000,21Z,9.2,70,1023.8 Hpa,50º (NE),11.1
07/01/2000,18Z,13.6,56,1022.8 Hpa,50º (NE),13.0
07/01/2000,15Z,16.0,51,1023.1 Hpa,50º (NE),16.7
07/01/2000,12Z,13.6,53,1025.0 Hpa,60º (NE),18.5
07/01/2000,09Z,7.2,74,1025.8 Hpa,50º (NE),22.2
07/01/2000,06Z,7.4,74,1024.6 Hpa,70º (E),27.8
06/01/2000,21Z,10.4,74,1023.3 Hpa,60º (NE),14.8
06/01/2000,18Z,13.2,63,1022.0 Hpa,50º (NE),11.1
06/01/2000,15Z,15.8,58,1021.6 Hpa,60º (NE),14.8
06/01/2000,12Z,13.2,83,1022.8 Hpa,70º (E),16.7
06/01/2000,09Z,7.8,88,1022.2 Hpa,50º (NE),18.5
06/01/2000,06Z,6.8,97,1020.8 Hpa,60º (NE),14.8
05/01/2000,21Z,11.8,87,1022.0 Hpa,160º (S),3.7
05/01/2000,18Z,13.6,83,1021.6 Hpa,80º (E),5.6
05/01/2000,15Z,14.8,78,1022.3 Hpa,10º (N),5.6
05/01/2000,12Z,11.4,82,1024.6 Hpa,40º (NE),11.1
05/01/2000,09Z,6.2,87,1025.1 Hpa,40º (NE),9.3
05/01/2000,06Z,6.6,87,1024.9 Hpa,50º (NE),11.1
04/01/2000,21Z,8.6,86,1027.2 Hpa,30º (NE),7.4
04/01/2000,18Z,12.8,76,1026.5 Hpa,50º (NE),9.3
04/01/2000,15Z,12.8,76,1026.5 Hpa,50º (NE),9.3
04/01/2000,12Z,12.8,65,1028.6 Hpa,60º (NE),14.8
04/01/2000,09Z,7.4,79,1028.9 Hpa,50º (NE),22.2
04/01/2000,06Z,6.2,87,1027.4 Hpa,50º (NE),18.5
03/01/2000,21Z,8.5,84,1027.3 Hpa,20º (N),11.1
03/01/2000,18Z,13.4,61,1026.2 Hpa,60º (NE),5.6
03/01/2000,15Z,14.7,57,1026.1 Hpa,40º (NE),7.4
03/01/2000,12Z,11.6,71,1027.6 Hpa,50º (NE),3.7
03/01/2000,09Z,5.0,90,1027.7 Hpa,10º (N),3.7
03/01/2000,06Z,3.9,93,1026.2 Hpa,40º (NE),7.4
02/01/2000,18Z,13.4,63,1024.6 Hpa,calm,0
02/01/2000,15Z,15.0,56,1025.1 Hpa,50º (NE),3.7
02/01/2000,12Z,12.2,64,1026.5 Hpa,60º (NE),11.1
02/01/2000,09Z,7.0,79,1026.9 Hpa,60º (NE),11.1
02/01/2000,06Z,5.4,90,1025.9 Hpa,40º (NE),7.4
01/01/2000,21Z,8.4,80,1026.2 Hpa,30º (NE),9.3
01/01/2000,18Z,13.0,63,1025.7 Hpa,calm,0
01/01/2000,12Z,12.0,62,1026.4 Hpa,50º (NE),18.5
01/01/2000,09Z,12.0,62,1026.4 Hpa,50º (NE),18.5
01/01/2000,06Z,6.8,76,1025.0 Hpa,40º (NE),16.7
29/02/2000,21Z,16.4,67,1025.2 Hpa,220º (SW),9.3
29/02/2000,18Z,21.2,50,1023.9 Hpa,220º (SW),14.8
29/02/2000,15Z,23.2,36,1023.9 Hpa,280º (W),7.4
29/02/2000,12Z,19.4,49,1026.3 Hpa,330º (NW),1.9
29/02/2000,09Z,12.8,72,1027.2 Hpa,calm,0
29/02/2000,06Z,10.4,86,1025.6 Hpa,180º (S),1.9
28/02/2000,21Z,16.0,64,1025.1 Hpa,170º (S),3.7
28/02/2000,18Z,21.0,50,1023.9 Hpa,200º (S),5.6
28/02/2000,15Z,21.6,51,1023.5 Hpa,270º (W),5.6
28/02/2000,12Z,17.2,66,1026.3 Hpa,calm,0
28/02/2000,09Z,11.0,87,1027.0 Hpa,calm,0
28/02/2000,06Z,9.6,86,1025.8 Hpa,calm,0
27/02/2000,21Z,16.2,61,1024.7 Hpa,calm,0
27/02/2000,18Z,20.4,47,1023.2 Hpa,230º (SW),9.3
27/02/2000,15Z,21.8,29,1023.5 Hpa,230º (SW),3.7
27/02/2000,12Z,18.8,44,1025.9 Hpa,calm,0
27/02/2000,09Z,11.0,70,1026.5 Hpa,calm,0
27/02/2000,06Z,7.4,79,1025.0 Hpa,20º (N),1.9
26/02/2000,21Z,17.8,45,1024.3 Hpa,calm,0
26/02/2000,18Z,23.0,30,1023.4 Hpa,260º (W),5.6
26/02/2000,15Z,22.4,29,1023.9 Hpa,calm,0
26/02/2000,12Z,19.4,36,1026.8 Hpa,360º (N),5.6
26/02/2000,09Z,13.4,53,1026.8 Hpa,60º (NE),7.4
26/02/2000,06Z,12.2,53,1024.9 Hpa,50º (NE),11.1
25/02/2000,21Z,16.0,61,1025.5 Hpa,190º (S),7.4
25/02/2000,18Z,20.6,39,1024.0 Hpa,200º (S),7.4
25/02/2000,15Z,22.6,31,1024.2 Hpa,30º (NE),13.0
25/02/2000,12Z,19.4,32,1026.7 Hpa,90º (E),13.0
25/02/2000,09Z,13.2,52,1027.0 Hpa,70º (E),18.5
25/02/2000,06Z,11.0,60,1025.6 Hpa,70º (E),24.1
24/02/2000,21Z,15.2,54,1025.9 Hpa,110º (E),16.7
24/02/2000,18Z,19.3,41,1025.1 Hpa,100º (E),16.7
24/02/2000,15Z,21.7,36,1024.4 Hpa,90º (E),31.5
24/02/2000,12Z,20.7,42,1026.3 Hpa,90º (E),31.5
24/02/2000,09Z,16.0,63,1026.4 Hpa,90º (E),22.2
24/02/2000,06Z,13.5,54,1025.2 Hpa,90º (E),18.5
23/02/2000,21Z,16.8,49,1025.5 Hpa,60º (NE),11.1
23/02/2000,18Z,21.2,38,1024.3 Hpa,90º (E),9.3
23/02/2000,12Z,19.4,36,1026.3 Hpa,80º (E),24.1
23/02/2000,09Z,13.4,61,1026.4 Hpa,40º (NE),22.2
23/02/2000,06Z,9.8,71,1024.2 Hpa,70º (E),5.6
22/02/2000,21Z,15.4,48,1023.5 Hpa,calm,0
22/02/2000,18Z,21.2,33,1021.6 Hpa,190º (S),9.3
22/02/2000,15Z,21.2,47,1022.3 Hpa,240º (SW),11.1
22/02/2000,12Z,16.4,61,1024.7 Hpa,270º (W),3.7
22/02/2000,09Z,7.6,97,1025.0 Hpa,calm,0
22/02/2000,06Z,8.2,91,1024.2 Hpa,calm,0
21/02/2000,21Z,16.0,61,1023.9 Hpa,290º (W),3.7
21/02/2000,18Z,20.8,41,1022.7 Hpa,220º (SW),9.3
21/02/2000,15Z,20.8,47,1023.5 Hpa,260º (W),7.4
21/02/2000,12Z,77.2,2,1025.1 Hpa,50º (NE),1.9
21/02/2000,06Z,8.8,97,1022.9 Hpa,calm,0
20/02/2000,21Z,13.2,83,1021.4 Hpa,180º (S),1.9
20/02/2000,18Z,16.4,65,1020.8 Hpa,210º (SW),7.4
20/02/2000,12Z,13.2,79,1022.5 Hpa,240º (SW),9.3
20/02/2000,09Z,8.0,100,1022.2 Hpa,calm,0
20/02/2000,06Z,8.0,100,1021.0 Hpa,calm,0
19/02/2000,21Z,15.6,70,1021.5 Hpa,200º (S),5.6
19/02/2000,18Z,21.0,34,1020.4 Hpa,210º (SW),5.6
19/02/2000,15Z,22.6,34,1020.6 Hpa,270º (W),1.9
19/02/2000,12Z,12.6,58,1024.0 Hpa,20º (N),3.7
19/02/2000,09Z,12.6,58,1024.0 Hpa,20º (N),3.7
19/02/2000,06Z,8.8,70,1022.8 Hpa,40º (NE),7.4
18/02/2000,21Z,15.8,51,1022.3 Hpa,110º (E),7.4
18/02/2000,18Z,22.6,42,1021.4 Hpa,260º (W),7.4
18/02/2000,12Z,20.6,42,1023.4 Hpa,60º (NE),14.8
18/02/2000,09Z,14.6,55,1024.0 Hpa,70º (E),22.2
18/02/2000,06Z,10.0,74,1023.6 Hpa,40º (NE),13.0
17/02/2000,21Z,-,0,1025.6 Hpa,calm,0
17/02/2000,18Z,20.4,43,1024.0 Hpa,30º (NE),11.1
17/02/2000,15Z,21.2,35,1025.2 Hpa,10º (N),16.7
17/02/2000,12Z,17.2,44,1027.9 Hpa,60º (NE),3.7
17/02/2000,09Z,11.2,63,1028.0 Hpa,20º (N),9.3
17/02/2000,06Z,10.0,63,1026.4 Hpa,10º (N),11.1
16/02/2000,21Z,15.0,57,1025.6 Hpa,330º (NW),11.1
16/02/2000,18Z,19.4,43,1023.9 Hpa,30º (NE),14.8
16/02/2000,15Z,21.4,43,1024.4 Hpa,220º (SW),13.0
16/02/2000,12Z,18.8,45,1027.1 Hpa,290º (W),3.7
16/02/2000,09Z,9.2,73,1027.4 Hpa,20º (N),3.7
16/02/2000,06Z,8.8,78,1026.1 Hpa,calm,0
15/02/2000,21Z,16.1,63,1025.6 Hpa,220º (SW),7.4
15/02/2000,18Z,22.3,37,1024.8 Hpa,230º (SW),11.1
15/02/2000,15Z,24.4,30,1025.4 Hpa,270º (W),3.7
15/02/2000,12Z,19.9,40,1027.9 Hpa,70º (E),11.1
15/02/2000,09Z,11.7,58,1027.7 Hpa,40º (NE),11.1
15/02/2000,06Z,9.1,70,1026.1 Hpa,60º (NE),9.3
14/02/2000,21Z,15.8,51,1026.4 Hpa,110º (E),3.7
14/02/2000,18Z,23.2,28,1025.4 Hpa,calm,0
14/02/2000,15Z,23.2,23,1025.5 Hpa,40º (NE),5.6
14/02/2000,12Z,18.8,32,1027.9 Hpa,40º (NE),14.8
14/02/2000,09Z,11.6,54,1028.4 Hpa,50º (NE),13.0
14/02/2000,06Z,7.0,76,1027.1 Hpa,20º (N),3.7
13/02/2000,21Z,14.2,62,1028.6 Hpa,calm,0
13/02/2000,18Z,19.0,50,1028.3 Hpa,calm,0
13/02/2000,15Z,19.8,45,1028.4 Hpa,30º (NE),3.7
13/02/2000,12Z,17.0,55,1030.4 Hpa,50º (NE),5.6
13/02/2000,09Z,11.6,61,1030.5 Hpa,60º (NE),16.7
13/02/2000,06Z,9.8,74,1028.9 Hpa,40º (NE),9.3
12/02/2000,21Z,15.3,62,1027.5 Hpa,calm,0
12/02/2000,18Z,20.0,44,1025.9 Hpa,90º (E),5.6
12/02/2000,15Z,20.8,40,1025.5 Hpa,50º (NE),3.7
12/02/2000,12Z,18.7,50,1026.7 Hpa,70º (E),11.1
12/02/2000,09Z,11.7,78,1026.5 Hpa,40º (NE),7.4
12/02/2000,06Z,10.4,84,1024.8 Hpa,40º (NE),5.6
11/02/2000,21Z,17.4,64,1024.0 Hpa,calm,0
11/02/2000,18Z,21.0,42,1022.8 Hpa,calm,0
11/02/2000,15Z,21.4,43,1023.1 Hpa,40º (NE),7.4
11/02/2000,12Z,17.0,58,1025.5 Hpa,50º (NE),11.1
11/02/2000,09Z,10.6,79,1026.1 Hpa,40º (NE),13.0
11/02/2000,06Z,9.2,86,1025.3 Hpa,50º (NE),7.4
10/02/2000,21Z,14.3,62,1027.0 Hpa,310º (NW),3.7
10/02/2000,18Z,19.9,44,1026.7 Hpa,90º (E),5.6
10/02/2000,15Z,21.4,38,1027.1 Hpa,40º (NE),13.0
10/02/2000,12Z,18.4,48,1029.5 Hpa,60º (NE),14.8
10/02/2000,09Z,12.8,72,1030.2 Hpa,50º (NE),9.3
10/02/2000,06Z,8.6,86,1029.3 Hpa,30º (NE),13.0
09/02/2000,21Z,15.2,70,1030.0 Hpa,calm,0
09/02/2000,18Z,20.8,48,1029.1 Hpa,50º (NE),1.9
09/02/2000,15Z,21.2,47,1029.5 Hpa,50º (NE),7.4
09/02/2000,12Z,17.0,51,1032.0 Hpa,40º (NE),11.1
09/02/2000,09Z,10.2,79,1032.4 Hpa,40º (NE),9.3
09/02/2000,06Z,7.0,88,1031.1 Hpa,320º (NW),1.9
08/02/2000,21Z,14.2,66,1032.6 Hpa,50º (NE),11.1
08/02/2000,20Z,14.2,66,-,50º (NE),11.1
08/02/2000,18Z,17.6,59,1031.2 Hpa,210º (SW),7.4
08/02/2000,15Z,19.6,48,1031.5 Hpa,270º (W),7.4
08/02/2000,12Z,16.4,59,1033.6 Hpa,calm,0
08/02/2000,09Z,8.8,86,1033.9 Hpa,calm,0
08/02/2000,06Z,7.4,94,1033.0 Hpa,calm,0
07/02/2000,21Z,13.5,78,1033.6 Hpa,60º (NE),5.6
07/02/2000,18Z,17.8,56,1032.8 Hpa,200º (S),3.7
07/02/2000,15Z,18.4,51,1032.3 Hpa,320º (NW),3.7
07/02/2000,12Z,15.3,63,1035.3 Hpa,320º (NW),3.7
07/02/2000,09Z,6.1,96,1035.3 Hpa,30º (NE),7.4
07/02/2000,06Z,6.4,95,1032.7 Hpa,30º (NE),5.6
06/02/2000,21Z,13.0,81,1032.1 Hpa,170º (S),7.4
06/02/2000,18Z,16.4,63,1030.3 Hpa,210º (SW),7.4
06/02/2000,15Z,17.8,57,1030.7 Hpa,230º (SW),14.8
06/02/2000,12Z,13.8,56,1032.1 Hpa,200º (S),1.9
06/02/2000,09Z,6.6,72,1031.4 Hpa,40º (NE),3.7
06/02/2000,06Z,5.2,80,1030.3 Hpa,30º (NE),3.7
05/02/2000,21Z,12.0,59,1029.8 Hpa,120º (SE),7.4
05/02/2000,18Z,18.8,39,1028.4 Hpa,230º (SW),5.6
05/02/2000,15Z,20.8,35,1028.4 Hpa,30º (NE),16.7
05/02/2000,12Z,17.8,40,1030.7 Hpa,70º (E),22.2
05/02/2000,09Z,10.8,58,1030.8 Hpa,60º (NE),18.5
05/02/2000,06Z,9.4,65,1029.6 Hpa,60º (NE),13.0
04/02/2000,21Z,14.2,34,1030.5 Hpa,30º (NE),5.6
04/02/2000,18Z,17.8,27,1028.8 Hpa,110º (E),16.7
04/02/2000,15Z,22.0,22,1028.3 Hpa,80º (E),24.1
04/02/2000,09Z,11.8,66,1031.0 Hpa,60º (NE),22.2
04/02/2000,06Z,9.6,73,1029.8 Hpa,60º (NE),18.5
03/02/2000,21Z,15.3,54,1029.8 Hpa,90º (E),16.7
03/02/2000,18Z,19.4,43,1029.1 Hpa,60º (NE),14.8
03/02/2000,15Z,20.9,42,1028.7 Hpa,70º (E),20.4
03/02/2000,12Z,17.9,50,1030.4 Hpa,60º (NE),27.8
03/02/2000,09Z,11.9,77,1030.8 Hpa,50º (NE),14.8
03/02/2000,06Z,9.9,86,1029.6 Hpa,70º (E),11.1
02/02/2000,18Z,17.0,62,1029.9 Hpa,20º (N),14.8
02/02/2000,15Z,20.0,52,1029.6 Hpa,360º (N),7.4
02/02/2000,12Z,18.0,63,1032.0 Hpa,360º (N),3.7
02/02/2000,09Z,10.8,89,1031.4 Hpa,calm,0
02/02/2000,06Z,12.2,94,1030.2 Hpa,calm,0
01/02/2000,21Z,15.4,72,1029.6 Hpa,130º (SE),5.6
01/02/2000,18Z,17.6,66,1028.3 Hpa,340º (N),1.9
01/02/2000,15Z,18.6,58,1027.9 Hpa,180º (S),1.9
01/02/2000,12Z,13.6,70,1030.4 Hpa,100º (E),9.3
01/02/2000,09Z,10.8,74,1029.6 Hpa,50º (NE),3.7
01/02/2000,06Z,8.4,86,1028.5 Hpa,130º (SE),1.9
31/03/2000,21Z,15.8,70,1013.8 Hpa,240º (SW),5.6
31/03/2000,18Z,19.2,53,1013.0 Hpa,250º (W),16.7
31/03/2000,15Z,21.6,38,1013.8 Hpa,250º (W),14.8
31/03/2000,12Z,19.0,46,1015.0 Hpa,280º (W),13.0
31/03/2000,09Z,14.8,70,1016.3 Hpa,300º (NW),9.3
31/03/2000,06Z,10.0,94,1014.7 Hpa,230º (SW),5.6
30/03/2000,21Z,15.2,80,1014.3 Hpa,220º (SW),11.1
30/03/2000,12Z,16.4,62,1013.8 Hpa,340º (N),7.4
30/03/2000,09Z,13.0,67,1013.9 Hpa,60º (NE),1.9
30/03/2000,06Z,10.8,75,1012.7 Hpa,60º (NE),1.9
29/03/2000,21Z,13.8,66,1012.7 Hpa,230º (SW),9.3
29/03/2000,18Z,17.2,43,1011.5 Hpa,240º (SW),20.4
29/03/2000,15Z,20.0,37,1011.0 Hpa,240º (SW),24.1
29/03/2000,12Z,16.4,47,1012.3 Hpa,240º (SW),5.6
29/03/2000,09Z,10.8,53,1012.7 Hpa,70º (E),16.7
29/03/2000,06Z,7.0,67,1011.1 Hpa,50º (NE),5.6
28/03/2000,21Z,14.2,43,1011.1 Hpa,340º (N),5.6
28/03/2000,18Z,19.0,42,1009.7 Hpa,330º (NW),20.4
28/03/2000,15Z,20.4,33,1009.7 Hpa,360º (N),18.5
28/03/2000,12Z,18.8,42,1011.3 Hpa,310º (NW),18.5
28/03/2000,09Z,15.2,58,1011.8 Hpa,300º (NW),18.5
28/03/2000,06Z,11.4,75,1011.4 Hpa,320º (NW),3.7
27/03/2000,21Z,17.2,50,1012.3 Hpa,330º (NW),9.3
27/03/2000,18Z,24.0,30,1011.8 Hpa,280º (W),9.3
27/03/2000,15Z,22.4,32,1013.3 Hpa,80º (E),3.7
27/03/2000,12Z,20.0,41,1016.3 Hpa,30º (NE),5.6
27/03/2000,09Z,14.4,55,1018.2 Hpa,40º (NE),9.3
27/03/2000,06Z,10.0,76,1017.9 Hpa,290º (W),1.9
26/03/2000,21Z,18.0,45,1019.1 Hpa,40º (NE),5.6
26/03/2000,18Z,20.6,40,1018.2 Hpa,50º (NE),3.7
26/03/2000,15Z,20.6,40,1019.0 Hpa,10º (N),5.6
26/03/2000,12Z,19.2,41,1020.7 Hpa,50º (NE),11.1
26/03/2000,09Z,14.6,57,1021.2 Hpa,50º (NE),13.0
26/03/2000,06Z,10.0,79,1019.9 Hpa,calm,0
25/03/2000,21Z,15.4,74,1019.8 Hpa,150º (SE),3.7
25/03/2000,18Z,18.3,50,1018.3 Hpa,30º (NE),3.7
25/03/2000,15Z,18.2,54,1018.6 Hpa,40º (NE),7.4
25/03/2000,12Z,17.3,52,1019.9 Hpa,190º (S),3.7
25/03/2000,09Z,13.2,74,1020.5 Hpa,calm,0
25/03/2000,06Z,9.2,89,1019.5 Hpa,calm,0
24/03/2000,21Z,15.2,72,1018.3 Hpa,180º (S),1.9
24/03/2000,18Z,19.4,43,1017.0 Hpa,320º (NW),5.6
24/03/2000,15Z,20.6,33,1017.0 Hpa,270º (W),9.3
24/03/2000,12Z,17.8,52,1018.3 Hpa,calm,0
24/03/2000,09Z,12.8,81,1018.6 Hpa,calm,0
24/03/2000,06Z,10.4,97,1017.2 Hpa,calm,0
23/03/2000,21Z,14.8,79,1016.2 Hpa,270º (W),7.4
23/03/2000,18Z,17.3,69,1014.3 Hpa,280º (W),13.0
23/03/2000,15Z,19.4,49,1013.7 Hpa,250º (W),9.3
23/03/2000,12Z,17.6,56,1014.7 Hpa,230º (SW),14.8
